발화	감정
내가 도와준 친구의 성적이 많이 올랐어.내가 도움이 될 수 있어서 뿌듯했어.친구가 행복해하는 모습을 보니까 내 기분도 좋더라고.	2
점수가 잘 나오지는 않았지만 열심히 노력한 내 모습에 만족해.지금처럼 노력하면 점수도 언젠가 오를 거야.다음엔 시험 점수도 올라갈 수 있게 시험에 집중해야지.	2
이번 시험 결과에 대해 부모님이 칭찬해 주셔서 뿌듯해.부모님이 더 무리할 필요 없다고 하셨으니 이대로 유지하고 싶어.조금씩 매일 매일 공부하려고 해.	2
우리 팀원들과 프로젝트를 진행했는데 평가가 엄청 좋게 나와서 기분이 너무 좋아.완전 기뻐 내가 나이가 많아서 잘 마무리할 수 있을지 걱정이 많았거든 완전 뿌듯해.더 열심히 노력해서 정년퇴직할 때까지 회사에 필요한 사람이 되려고.	2
오늘은 정말 기쁜 날이야. 날 여자라고 깔보던 상사를 내가 오늘 실적으로 이겼거든.너무 기뻐서 흥분돼. 오늘 상사 얼굴을 보니 아주 죽을 쒔더라고 얼마나 고소했는지 몰라.더 열심히 노력해서 오늘처럼 앞으로도 깔보지 못하도록 할 거야.	2
팀원들이 내가 여성 상사라고 은근 무시했는데 내가 이번 계약 건으로 코를 납작하게 해주었어.맞아 기분이 너무 좋았어. 팀원들이 나를 보는 눈빛을 보니 얼마나 기쁘고 흥분되던지.내가 더 열심히 노력해야겠지. 노력해서 여성 상사의 멋진 모습을 보여줄 거야.	2
우리 회사에서 문서 작성하는 프로그램을 나만큼 잘하는 사람이 없는 것 같아서 은근 뿌듯해.사람들이 몰라서 물어볼 때마다 은근 자존감도 높아지고 직장에서의 위치도 확고해지는 것 같아 기뻐.앞으로 더 열심히 해서 나 자신을 업그레이드해야겠어.	2
내가 승진 명단에 추천한 사람이 승진이 되어서 너무 기뻤어.많이 기뻤지. 앞으로도 어떻게 하면 내가 추천하는 사람이 승진될 수 있을까 방법을 생각 중이야.그 사람에 대해 신중히 살펴보고 판단해서 추천하면 꼭 승진할 수 있을 거라고 생각해.	2
저평가된 직원과 대화를 했는데 그 직원이 그 이후로 좋은 변화가 일어나서 정말 기뻐.맞아. 근데 저평가된 직원이기 때문에 남들이 업신여길까 봐 걱정되기도 해.내가 옆에서 사수 역할을 잘 해줘서 이 친구를 잘 이끌어야겠어.	2
저번 인사 발령 때 내가 어떤 사람을 다른 부서로 보냈는데 누가 불만이 많았었다고 하네. 너무 미안해.그니까. 미안했는데 그 직원이 그곳에서 좋은 실적을 냈다고 말하니까 한편으로는 고맙더라고.그 직원에게 앞으로 술을 자주 사줘야겠어. 고생했으니까.	2
전에 했던 업무는 스트레스가 너무 많았는데 그게 다른 부서로 이관되었어.그럼 너무 기쁘고말고. 지금 기분이 날아갈 것처럼 흥분돼 이 기분을 계속 느끼고 싶어.축하주를 한잔해야겠어. 친한 친구들과 함께.	2
실적도 없이 고객 응대만 해야 하는 업무였는데 그 업무가 자동화로 바뀌었어.그 업무를 할 때 짜증 났었는데 막상 자동화로 바뀌고 나니 시원섭섭하네.많이 힘들었는데 이젠 그냥 잊어버릴래. 다른 업무에 앞으로 집중하지 뭐.	2
오늘 내가 업무 일부를 자동화로 해도 괜찮을 것 같다고 제안을 했는데 그게 받아들여졌어.맞아. 뿌듯하긴 한데 내가 제안한 거라서 책임을 져야 하니까 걱정되기도 하네.자동화된 업무가 잘 진행되고 있는지 수시로 체크해야겠어.	2
이번에 본 면접에서 합격 통보를 받아서 너무 다행이야.경쟁자가 많아 백 퍼센트 떨어질 줄 알았는데 합격이 되어서 더욱 좋아.가족들과 함께 파티해야지.	2
휴 이번 프로젝트도 성공적으로 마무리되었어.그런데 내가 프로젝트를 하다가 큰 실수를 해서 솔직히 큰일 날 수도 있었어.걱정돼서 한숨도 못 잤어. 그래도 프로젝트가 끝나서 너무 행복해.	2
날짜를 잘못 알아서 회사 지원공고 날짜를 놓칠 뻔했어.다행히도 아직 지원 기간이 남아서 겨우 지원했어. 매번 이렇게 급하게 하게 되네.미리 달력에 잘 적어놓아야지. 철저하게 준비를 해야겠어.	2
내 친구보다 좋은 회사에서 오늘 합격 통보를 받아서 다행이야.걔가 항상 날 깔보고 무시했거든 그래서 더 노력했다고.결국 그 친구보다 좋은 회사 취직해서 지금은 기분이 좋아.	2
이번에 남편 생일이라 선물을 준비해서 줬어. 남편이 좋아하니 나도 기분이 좋아.맞아. 내가 준 선물을 아주 마음에 들어 했어.다음에도 남편이 좋아할 만한 선물로 준비해야겠어.	2
딸이 언제나 사랑한다고 해 줘서 너무 기뻐.당연하지. 항상 사랑한다고 말해주니까 얼마나 기분이 좋은지.나도 같이 사랑한다 해줘야지. 받기만 하지 말고 서로 표현을 잘 해줘야겠어.	2
오늘 친구들을 만나고 왔어. 다들 내 취업을 축하해주더라고.본인들도 힘들 텐데 좋은 곳에 취직했다고 자기 일처럼 기뻐해 줬어.맞아. 정말 좋은 친구들을 둔 것 같아.	2
이번 계획한 프로젝트가 부장님께서 전폭적으로 지지해주셔서 성공적으로 끝났어.너무 기뻤고 부장님께 너무 감사했어.조만간 인사드리고 작은 선물이라도 드려야겠어.	2
팀 프로젝트가 정말 성공적으로 끝나서 기분이 정말 좋아.이 모든 건 나를 믿고 따라와 준 팀원들의 덕분인 것 같아.맞아. 조만간 같이 축하 파티라도 해야겠어.	2
요즘 일에 너무 만족하고 있어. 고등학교 선생님이 아니었다면 불가능했을 거야.고등학교 선생님께서 내 적성을 찾을 수 있게끔 도와주셨거든.그때는 잘 몰랐지만 이제야 깨닫는 것 같아.	2
드디어 취업에 성공했어! 다 그 친구 덕분이야.내가 회사면접에 성공할 수 있도록 예상 질문 파일을 공유해 주었거든.나중에 밥이라도 한 끼 사야겠어.	2
시험 준비를 시작했어. 부모님께 정말 감사드리고 있어.부모님이 시험을 준비하겠다는 나를 믿고 지지해주셨거든. 그래서 감사해.응 맞아. 시험에 합격하면 꼭 효도할 거야.	2
드디어 회사에 합격했어! 삼촌의 덕이 커.삼촌이 사소한 팁들을 알려주셔서 회사에 합격할 수 있었거든.조만간 연락드리고 꼭 감사 인사를 전하려고.	2
드디어 공무원시험에 합격했어! 다 인터넷 강의 선생님 덕분이야.인터넷 강의 선생님이 잘 알려주신 덕분에 공무원 시험에 합격할 수 있었거든.응. 인터넷 강의 선생님이 아니었다면 합격이 어려웠을 거야.	2
좋은 기회가 생긴 것 같아. 다 상사님 덕분이야.그 상사님이 나에게 중요한 일을 맡겨주셔서 좋은 기회를 얻을 수 있었어.일을 잘 마무리하고 꼭 인사드려야겠어.	2
운동하고 나면 온몸이 상쾌해지는 기분이야.운동하면서 친구들이랑도 오랜만에 만나 생활에 활력이 도는 것 같아. 앞으로 자주 친구들을 만날 생각이야.몸도 상쾌해지고 피로가 싹 풀려서 좋아.	2
뱃살 때문에 운동을 시작한건데 배가 쏙 들어가서 기뻐.운동이 이렇게 좋은 줄 알았으면 진작 할걸 그랬어.몸도 많이 개운해지고 활력이 생긴 것 같아.	2
나는 영어 실력이 좋아서 다른 사람이 물어볼 정도야.내 영어 실력을 인정해 주는 것 같아서 기뻐.아는 동생한테도 영어를 가르쳐줘야겠어. 그럼 내 공부도 되고 좋겠어.	2
난 절대음감이 있어서 피아니스트가 되고 싶어.피아노 코드를 잘 아니까 어떤 곡이든 칠 수 있어.콩쿠르도 나가보고 음악도 많이 들으려고. 그럼 음악성도 좋아지겠지.	2
언니가 나한테 용돈으로 백만원을 줬어!그렇지. 백만 원 받는데 흥분돼서 손이 다 떨리더라고. 너무 기뻤어.사고 싶은 거 보고 싶은 거 먹고 싶은 거 정리해 보려고.	2
이제 이 학교에 학교폭력 가해자들이 없어서 너무 좋아.이제 당당하게 학교 갈 수 있어서 행복해.응. 여태 못 사귀었던 친구들을 사귀려고.	2
지금 괴롭힘당하고 있다고 선생님께 털어놓으니 마음이 한결 가벼워졌어.이제 학교에서 더 이상 괴롭힘 당하지 않아도 되서 너무 기쁘고 학교 가는 게 신나.그동안 못 사귀었던 좋은 친구들을 많이 사귀고 싶어.	2
앞으로 괴롭힘을 당할 때마다 우리반 친구들이 도와주기로 약속했어!정말 좋은 친구들을 뒀다고 생각했어. 나도 더 잘해줘야겠다고 생각했어.그래야지. 앞으로 나도 괴롭힘당하는 친구들 있으면 도와줄 거야! 	2
가해자들이 괴롭히려고 할 때 선생님이 도와주셔서 이젠 전혀 무섭지 않아!가해자들이 나를 건드리지 않아서 기분이 너무 좋아.앞으로 선생님께서 도와주시니 좋은 친구들을 많이 사귀어야겠어.	2
이등한테 잡힐까 봐 조마조마했는데 다행히 시험을 잘 봐서 내가 일등을 했어.다음 시험에서도 일등을 유지할 거야.오답 노트를 더 꼼꼼히 만들어서 틀린 문제를 안 틀리게 하려고.	2
선생님의 위로를 듣고 나니 조급한 마음이 안정되고 기분이 좋아졌어.조급한 마음 때문에 집중이 잘 안 됐는데 이제 할 수 있어. 너무 기뻐.앞으로는 여유로운 마음으로 취미 동아리도 하나 들어볼까 해.	2
이번 경시대회에서 금상을 타서 기뻐.지난번 대회에서는 입상도 하지 못했거든.맞아 더 노력해서 다음에도 금상을 탈 거야.	2
지난 모의고사에서 떨어진 등급이 이번에 올라서 기분이 좋아.지난번에 등급이 떨어졌을 때 너무 우울했는데 이번에는 더 떨어진 거 같아.그래도 이번에 올라서 기분이 좋아. 이제 안 떨어지게 관리를 잘해야겠어.	2
내가 좋아하는 친구가 있는데 같은 대학을 가게 되어서 기분이 좋아.응 내 시험 점수가 조금 낮아서 같이 못 가게 될 줄 알았는데 같이 가게 되서 기분이 너무 좋아.대학에 가게 되면 하고 싶은 것도 많아서 기대돼.	2
내가 하고 싶은 일을 찾아서 기분이 좋아.지금까지 하고 싶은 것도 없이 방황해서 부모님도 걱정하셨었거든.응. 부모님도 적극적으로 도와주시기로 했어.	2
학교 폭력 가해자들이 학교에 안 나오니깐 반 친구들이 내게 말을 걸어주었어!나도 좋은 친구들을 사귈 수 있을 것 같아서 신나고 행복했어.앞으로 친구들과 다양한 주제로 이야기 나누려 해.	2
오늘 너무 화가 나 참지 못하고 싸웠는데 내가 이겼어! 너무 신나!이제 나한테 아이들이 함부로 대하지 않게 돼서 그게 가장 기뻤어.이제 내 할 말도 다 하고 즐거운 학교생활을 할 거야.	2
나도 모르게 어느새 반 아이들끼리 증거를 모아 학교 폭력 가해자들을 고소해 주었어!내가 혼자가 아니라는 느낌을 받아서 정말 행복해.도움을 준 친구들에게 고맙다고 편지라도 쓸까 생각하고 있었어.	2
이제 모든 왕따 문제가 해결되었대. 선생님이 나를 꼭 안아주셔서 너무 기뻐.다행히도 이제 다시 즐거운 학교생활을 해나갈 수 있을 것 같아.친구들한테 먼저 다가가서 말을 걸고 같이 게임도 할 거야.	2
나를 따돌리던 친구들이 내게 다시 말을 걸기 시작해서 마음이 한결 놓였어.처음에는 많이 불편했는데 이젠 좀 편해진 것 같아!좋아하는 연예인에 대한 이야기도 해보고 싶어.	2
오늘 학교에 가지 않았는데 많은 아이들이 걱정하는 문자를 보내왔어.나를 그렇게나 신경 써주고 있었구나 싶어서 좀 기뻤어.친구에게 편지를 써서 고마움을 표현할래.	2
반 아이들이 앞으로 가해자들이 나를 괴롭힐 때마다 막아주겠다고 했어!나 혼자 너무 힘들었는데 든든한 아군이 생긴 느낌이라 너무 고맙고 기뻐.친구들이랑 신나는 액션 영화 한 편을 보려고.	2
우리 반에 학교폭력을 당하는 아이가 오늘 드디어 나한테 말을 털어놓기 시작했어!내가 많이 의지가 된대. 나한테 마음을 열어준 거지.내가 도움을 줄 수 있다는 사실에 기뻤어.	2
나를 괴롭히던 친구가 집안 사정상 이제 학교에 더 이상 나오지 못한다는 이야기를 들었어!너무 다행이고 너무 신나! 매일 학교 가는 것 자체가 지옥이었는데 이제 숨통이 좀 트인 것 같아.이제 점심시간 되면 친구들이랑 축구도 하려고.	2
엄마랑 길 가다가 엄마 친구를 만났는데 나보고 잘생겼다고 칭찬해 주셨어.맞아. 그런데 엄마 표정을 보니 나보다 더 좋아하는 것 같았어.엄마가 자기 닮아서 잘생겼다고 그랬어. 그래서 서로 웃었어.	2
아빠는 출장이 잦아서 자주 볼 수가 없는데 이번엔 휴가를 받으셨대. 그래서 기뻐.응. 같이 할 수 있는 시간이 생겨서 뭘 하며 지낼까 생각 중이야.아빠랑 같이 낚시를 하러 가고 싶은 생각인데 아빠 생각은 어떨지 물어봐야겠어.	2
형이 이번에 태권도 선수가 됐는데 금메달을 수상했어. 그래서 나도 기뻐.응. 나도 좋았지만 특히나 부모님이 기뻐하셨어.내가 생각해도 형이 진짜 대단해. 내 형이어서 뿌듯해.	2
친구랑 싸웠다가 어제 화해를 했는데 친한 친구여서 절교하면 어떡하나 사실 걱정을 많이 했거든. 정말 다행이야.걱정 많이 했어. 내가 잘못을 해서 친구에게 상처를 남겼거든.앞으로는 친구에게 잘해줘야 할 것 같아. 	2
나 내년 초에 드디어 결혼하게 됐어. 너무 기쁘다.지금 너무 신나고 기뻐. 결혼을 준비하는 과정들도 다 즐겁게 느껴져.맞아. 예비 신부도 나하고 너무 잘 맞아서 이 사람과 함께라면 어떠한 문제라도 이겨낼 수 있을 것 같아.	2
예전에는 대인관계에 신경을 많이 썼는데 나이가 들수록 느긋해지는 것 같아.편해진 것 같아. 사소한 관계 문제에 신경 쓰지 않아도 되고.대인관계에 대한 스트레스가 거의 없어지니까 남을 더 진심으로 대할 수 있게 되었어.	2
나 취업에 합격했어!대기업에 취업했어. 이번에 경쟁률도 많이 높은데 내가 됐네.	2
안녕? 회사에서 좋아하는 사람이 생겼어.같이 일하면서 느낀 건데 상대방에 대한 배려가 많은 것 같아.그렇지. 근데 좋아하는 감정을 생겼는데 어떻게 표현해야 할지 모르겠어.	2
이번에 취업한 곳의 상사가 정말 좋은 분인 것 같아.전 직장에서 일할 때 보다 훨씬 믿음이 가는 분이야.같이 프로젝트에 참여할 거야.	2
그동안 회사에서 스트레스를 너무 받았는데 퇴사하고 나니 마음이 편안해.그동안 못했던 여행도 하고 공부도 하면서 하고 싶은 일을 찾아볼 생각이야.	2
돈 빌려준 친구한테 연락이 왔어. 사정이 생겼다고 일주일 뒤에 갚겠다고 정말 미안하다고 그러네.그렇지. 당연히 연락이 올 줄 알고는 있었지만 별별 생각이 다 들더라고.맞아. 지금은 바빠 보이니까 다음에 만나면 맛있는 밥이나 사주면서 이야기하려고.	2
드디어 길었던 수험생 시절이 끝나고 공무원 최종 합격했어. 마음이 한결 편해.학원비며 생활비며 그동안 부모님께서 경제적으로 지원해주신 것들을 이제야 갚을 수 있을 것 같아.당분간은 마음 편하게 잠들 수 있을 거야.	2
동호회 모임 인기투표에서 남자 일등으로 내가 뽑혔어. 완전 기분 좋은데.외모가 잘생긴 것도 아닌데 아무래도 사람들하고 소통을 많이 하려고 했던 걸 좋게 본 것 같아.무엇보다 동호회에서 내가 좋아하는 사람도 나를 뽑았다는 게 특히 기분 좋아.	2
나 이번 건강검진 결과가 정상으로 나왔어. 너무 신이 나네.기뻐. 운동을 열심히 해서 그런가?아침마다 걷기 운동을 했어.	2
담배 끊은 지 두 달째인데 오늘 조기축구에서 두 골을 넣었어. 건강해졌나 봐.이러다가 손흥민이 되는 거 아닐까.	2
이번에 정기적금 만기 돼서 탔어. 너무 기분이 좋아.아끼고 살아준 부인이 고맙지.	2
오랫동안 고대해오던 직장으로 취업에 성공했어.그동안 취업 과정에서 진로에 대한 고민도 많았어. 그런데 포기하지 않으니까 이런 결과가 나오더라고.	2
나도 드디어 갱년기가 찾아왔는지 무슨 말을 들어도 서운하고 눈물이 나고 도대체 무엇을 하면서 살았나 싶어.딸이 나의 이런 마음을 알고 대화를 많이 해주더라.응 고마웠어. 수시로 사랑한다고 말해주고 힘든 점은 없는지 살펴주는데 내가 딸아이에게 보호를 받는 것 같아.	2
나 드디어 건강한 다이어트 성공했어.살만 빠지는 다이어트가 아니고 근력 수치를 높이는 다이어트라서 많이 힘들었는데 성공하고 나니 뿌듯하다.주변에서도 대단하다고 비결 좀 알려달라고 하네. 나의 비결로 모두 건강한 다이어트 성공하면 좋겠다	2
개발 중인 프로젝트에서 장애가 발생해서 오늘도 야근해야 할 것 같아.그래도 혼자 하는 게 아니고 날 믿고 잘 따라주고 있는 팀원들이 있어서 큰 걱정은 안 해.	2
취업이 고민이었는데 최근에 취업 멘토 프로그램을 알게 돼서 다행이야.이용 후기들을 보니 효과적인 것 같아. 내 친구도 사용해보니 좋다고 하더라.이번 달 아르바이트 급여를 수령한 대로 신청할 예정이야. 열심히 일해서 번 돈이니까 멘토 교육도 열심히 받아야지.	2
나 복권에 당첨됐어!돈에 맞는 상가를 사서 임대료를 받을 거야. 이제 일을 줄여도 돈 걱정 덜 할 수 있어서 좋아!	2
